customer_id,full_name,avg_spending
19,lizzette stein,439494.0
730,andria rivers,432703.0
1226,qiana jackson,198805.0
1002,cami williamson,123367.0
222,anya contreras,80697.0
1342,lekisha pope,52778.0
73,melanie hayes,27051.0
122,shena carter,24891.0
1224,abram copeland,24607.0
1214,brigid sharp,20649.0
425,augustina joyner,20509.0
238,cindi larson,20178.0
1023,adena blake,19330.0
464,bess mcbride,18853.0
1100,penny acevedo,18671.0
227,danielle bond,18554.0
108,shae hickman,18281.0
1007,jimmy russell,18279.0
525,andreas mayer,18115.0
289,charmain webster,17835.0
1037,ashanti hammond,17758.0
182,jenniffer bullock,17747.0
1005,ruthanne franco,17612.0
607,paul lester,17581.0
1421,edris barrett,17495.0
339,tamela harrell,17480.0
383,ashlee pena,17306.0
1391,sheryl chase,17087.0
976,ayanna cherry,16950.0
651,laure pena,16890.0
93,corrina sawyer,16862.0
534,alejandro haney,16847.0
1382,wynona douglas,16492.0
184,klara stanley,16436.0
3,tameka fisher,16000.0
119,thalia dillard,15981.0
971,samual warner,15876.0
85,teofila fischer,15748.0
1199,consuela collier,15456.0
908,delmar wise,15440.0
809,elnora simpson,15416.0
1132,parthenia holman,15206.0
840,gilbert calhoun,15098.0
531,kimberely bowen,15087.0
195,addie hahn,14935.0
172,jeanie kirkland,14905.0
374,candelaria coffey,14735.0
35,guillermina noble,14574.0
663,alissa hood,14567.0
1131,desmond rose,14566.0
263,dortha jarvis,14405.0
904,jana thomas,14397.0
1171,earlean pena,14250.0
167,loreta johnston,14172.0
1020,lorraine marks,14141.0
292,monty frost,13948.0
692,dorothea chang,13822.0
296,sophia mcmillan,13774.0
1063,tammy austin,13766.0
734,alina mcleod,13288.0
503,marlo jefferson,13243.0
595,frederica rojas,13192.0
681,reatha perez,13131.0
883,gilberte duke,13107.0
226,kiana rivera,13034.0
1438,lee dunn,12981.0
441,dorthea walker,12966.0
310,gilberto parsons,12936.0
140,cleopatra tate,12910.0
803,bernardina cooper,12868.0
1070,olimpia mays,12774.0
334,somer jordan,12664.0
1403,mila moody,12595.0
700,collene knox,12542.0
105,marget hodge,12462.0
95,letitia franco,12433.0
1237,luke kramer,12421.0
1086,cori schwartz,12401.0
1090,ira erickson,12393.0
1258,todd waters,12382.0
203,minerva decker,12370.0
1103,ardelia cooley,12335.0
1332,novella ross,12308.0
690,yevette elliott,12105.0
905,hae ramirez,12090.0
1195,chantell bridges,11994.0
330,sheba knapp,11973.0
1019,janie herrera,11950.0
322,merideth preston,11832.0
747,margret barnett,11831.0
509,terra pickett,11788.0
473,lashawna richardson,11596.0
871,erlinda humphrey,11589.0
583,lashandra turner,11579.0
627,deloris larson,11480.0
275,pinkie kirkland,11477.0
462,efren oliver,11464.0
350,christoper mccall,11463.0
1136,kallie best,11429.0
541,lanita burton,11406.0
375,yan trevino,11391.0
415,gwendolyn miller,11350.0
780,ouida gregory,11314.0
1284,shanice spears,11300.0
1423,dollie cervantes,11239.0
28,jeanice frost,11211.0
1348,yvone guerrero,11183.0
547,tena huber,11183.0
880,phebe turner,11120.0
798,alyse jacobson,11062.0
295,danny kim,11056.0
609,eliana reese,11036.0
159,regina burns,11014.0
783,celestine kent,10998.0
997,trinidad mcclain,10987.0
810,ivelisse nixon,10952.0
196,edythe valencia,10950.0
245,delila hamilton,10870.0
403,elouise fry,10867.0
550,felicidad golden,10794.0
1018,carita salinas,10792.0
888,coleen navarro,10728.0
815,leanna manning,10620.0
1312,tereasa bird,10618.0
576,shirely stanley,10575.0
38,zelma browning,10573.0
247,muriel juarez,10570.0
1205,emmaline huber,10564.0
89,arvilla osborn,10549.0
1138,hubert stone,10542.0
867,rosalva hamilton,10530.0
4,daryl spence,10400.0
1443,lezlie lamb,10372.0
1440,ernest rollins,10360.0
543,jasmin young,10337.0
147,bernetta marquez,10323.0
126,lavina dejesus,10315.0
255,flossie holder,10270.0
463,jerlene rios,10267.0
259,johnathan velazquez,10231.0
1368,veronique fulton,10216.0
715,larae carney,10188.0
844,felica munoz,10187.0
153,laraine robbins,10187.0
824,veronika rollins,10132.0
169,karla kirk,10078.0
1225,mellisa griffin,10051.0
