staff_id,first_name,last_name,email,phone,active,store_id,manager_id,store_id ,full_name
1,fabiola,jackson,fabiola.jackson@bikes.shop,unknown,True,,,,fabiola_jackson
2,mireya,unknown,mireya.copeland@bikes.shop,8315555555,True,1.0,1,1,mireya_unknown
3,genna,serrano,genna.serrano@bikes.shop,8315555556,True,1.0,2,1,genna_serrano
4,virgie,wiggins,virgie.wiggins@bikes.shop,8315555557,True,1.0,2,1,virgie_wiggins
5,jannette,david,jannette.david@bikes.shop,5163794444,True,2.0,1,2,jannette_david
6,marcelene,boyer,unknown,5163794445,True,2.0,5,2,marcelene_boyer
7,venita,daniel,venita.daniel@bikes.shop,unknown,True,2.0,5,2,venita_daniel
8,kali,vargas,kali.vargas@bikes.shop,9725305555,True,3.0,1,3,kali_vargas
9,layla,terrell,layla.terrell@bikes.shop,9725305556,True,3.0,7,3,layla_terrell
10,bernardine,houston,bernardine.houston@bikes.shop,9725305557,True,3.0,7,3,bernardine_houston
